tarih,haftanin_gunu,city_code,magaza_no,magaza_alani,saat,nem,fis_sayisi,store_avrg_temp,outside_temp
2021-08-02,1.0,34.0,2177.0,1275.0,1.0,57.0,0.0,26.9,28.0
2021-08-02,1.0,34.0,2177.0,1275.0,2.0,57.0,0.0,26.9,25.0
2021-08-02,1.0,34.0,2177.0,1275.0,3.0,57.0,0.0,26.5,24.0
2021-08-02,1.0,34.0,2177.0,1275.0,4.0,57.0,0.0,26.31,23.0
2021-08-02,1.0,34.0,2177.0,1275.0,5.0,57.0,0.0,26.22,23.0
2021-08-02,1.0,34.0,2177.0,1275.0,6.0,57.0,0.0,26.16,24.0
2021-08-02,1.0,34.0,2177.0,1275.0,7.0,57.0,0.0,26.79,26.0
2021-08-02,1.0,34.0,2177.0,1275.0,8.0,57.0,53.0,27.49,28.0
2021-08-02,1.0,34.0,2177.0,1275.0,9.0,57.0,105.0,29.27,27.0
2021-08-02,1.0,34.0,2177.0,1275.0,10.0,57.0,148.0,30.91,29.0
2021-08-02,1.0,34.0,2177.0,1275.0,11.0,57.0,105.0,31.31,29.0
2021-08-02,1.0,34.0,2177.0,1275.0,12.0,57.0,150.0,29.39,32.0
2021-08-02,1.0,34.0,2177.0,1275.0,13.0,57.0,158.0,29.01,32.0
2021-08-02,1.0,34.0,2177.0,1275.0,14.0,57.0,114.0,28.88,33.0
2021-08-02,1.0,34.0,2177.0,1275.0,15.0,57.0,140.0,29.09,33.0
2021-08-02,1.0,34.0,2177.0,1275.0,16.0,57.0,123.0,28.98,35.0
2021-08-02,1.0,34.0,2177.0,1275.0,17.0,57.0,114.0,28.92,35.0
2021-08-02,1.0,34.0,2177.0,1275.0,18.0,57.0,160.0,28.84,35.0
2021-08-02,1.0,34.0,2177.0,1275.0,19.0,57.0,153.0,28.71,33.0
2021-08-02,1.0,34.0,2177.0,1275.0,20.0,57.0,115.0,28.58,31.0
2021-08-02,1.0,34.0,2177.0,1275.0,21.0,57.0,90.0,28.37,30.0
2021-08-02,1.0,34.0,2177.0,1275.0,22.0,57.0,4.0,28.43,31.0
2021-08-02,1.0,34.0,2177.0,1275.0,23.0,57.0,0.0,29.06,28.0
2021-08-03,2.0,34.0,2177.0,1275.0,0.0,55.0,0.0,29.32,28.0
2021-08-03,2.0,34.0,2177.0,1275.0,1.0,55.0,0.0,29.42,28.0
2021-08-03,2.0,34.0,2177.0,1275.0,2.0,55.0,0.0,29.5,28.0
2021-08-03,2.0,34.0,2177.0,1275.0,3.0,55.0,0.0,29.49,26.0
2021-08-03,2.0,34.0,2177.0,1275.0,4.0,55.0,0.0,29.34,24.0
2021-08-03,2.0,34.0,2177.0,1275.0,5.0,55.0,0.0,29.3,24.0
2021-08-03,2.0,34.0,2177.0,1275.0,6.0,55.0,0.0,29.32,25.0
2021-08-03,2.0,34.0,2177.0,1275.0,7.0,55.0,1.0,29.0,27.0
2021-08-03,2.0,34.0,2177.0,1275.0,8.0,55.0,51.0,28.55,29.0
2021-08-03,2.0,34.0,2177.0,1275.0,9.0,55.0,98.0,28.48,31.0
2021-08-03,2.0,34.0,2177.0,1275.0,10.0,55.0,119.0,28.45,30.0
2021-08-03,2.0,34.0,2177.0,1275.0,11.0,55.0,118.0,28.75,32.0
2021-08-03,2.0,34.0,2177.0,1275.0,12.0,55.0,146.0,28.76,34.0
2021-08-03,2.0,34.0,2177.0,1275.0,13.0,55.0,139.0,28.85,34.0
2021-08-03,2.0,34.0,2177.0,1275.0,14.0,55.0,101.0,28.93,34.0
2021-08-03,2.0,34.0,2177.0,1275.0,15.0,55.0,114.0,28.92,34.0
2021-08-03,2.0,34.0,2177.0,1275.0,16.0,55.0,126.0,28.95,32.0
2021-08-03,2.0,34.0,2177.0,1275.0,17.0,55.0,120.0,28.89,31.0
2021-08-03,2.0,34.0,2177.0,1275.0,18.0,55.0,131.0,28.9,30.0
2021-08-03,2.0,34.0,2177.0,1275.0,19.0,55.0,135.0,28.78,30.0
2021-08-03,2.0,34.0,2177.0,1275.0,20.0,55.0,99.0,28.76,28.0
2021-08-03,2.0,34.0,2177.0,1275.0,21.0,55.0,86.0,28.65,27.0
2021-08-03,2.0,34.0,2177.0,1275.0,22.0,55.0,3.0,29.09,27.0
2021-08-03,2.0,34.0,2177.0,1275.0,23.0,55.0,0.0,29.5,27.0
2021-08-04,3.0,34.0,2177.0,1275.0,0.0,89.0,0.0,29.63,27.0
2021-08-04,3.0,34.0,2177.0,1275.0,1.0,89.0,0.0,29.71,27.0
2021-08-04,3.0,34.0,2177.0,1275.0,2.0,89.0,0.0,29.82,26.0
2021-08-04,3.0,34.0,2177.0,1275.0,3.0,89.0,0.0,29.8,25.0
2021-08-04,3.0,34.0,2177.0,1275.0,4.0,89.0,0.0,29.67,24.0
2021-08-04,3.0,34.0,2177.0,1275.0,5.0,89.0,0.0,29.62,24.0
2021-08-04,3.0,34.0,2177.0,1275.0,6.0,89.0,0.0,29.61,25.0
2021-08-04,3.0,34.0,2177.0,1275.0,7.0,89.0,1.0,29.45,27.0
2021-08-04,3.0,34.0,2177.0,1275.0,8.0,89.0,52.0,29.03,28.0
2021-08-04,3.0,34.0,2177.0,1275.0,9.0,89.0,111.0,29.0,27.0
2021-08-04,3.0,34.0,2177.0,1275.0,10.0,89.0,119.0,28.93,29.0
2021-08-04,3.0,34.0,2177.0,1275.0,11.0,89.0,124.0,28.91,29.0
2021-08-04,3.0,34.0,2177.0,1275.0,12.0,89.0,122.0,28.98,30.0
2021-08-04,3.0,34.0,2177.0,1275.0,13.0,89.0,131.0,29.25,30.0
2021-08-04,3.0,34.0,2177.0,1275.0,14.0,89.0,107.0,29.29,33.0
2021-08-04,3.0,34.0,2177.0,1275.0,15.0,89.0,120.0,29.39,35.0
2021-08-04,3.0,34.0,2177.0,1275.0,16.0,89.0,120.0,29.37,34.0
2021-08-04,3.0,34.0,2177.0,1275.0,17.0,89.0,144.0,29.22,34.0
2021-08-04,3.0,34.0,2177.0,1275.0,18.0,89.0,144.0,29.06,32.0
2021-08-04,3.0,34.0,2177.0,1275.0,19.0,89.0,121.0,28.96,30.0
2021-08-04,3.0,34.0,2177.0,1275.0,20.0,89.0,119.0,28.89,29.0
2021-08-04,3.0,34.0,2177.0,1275.0,21.0,89.0,78.0,28.74,28.0
2021-08-04,3.0,34.0,2177.0,1275.0,22.0,89.0,1.0,28.55,28.0
2021-08-04,3.0,34.0,2177.0,1275.0,23.0,89.0,0.0,27.69,28.0
2021-08-05,4.0,34.0,2177.0,1275.0,0.0,62.0,0.0,27.43,27.0
2021-08-05,4.0,34.0,2177.0,1275.0,1.0,62.0,0.0,27.31,27.0
2021-08-05,4.0,34.0,2177.0,1275.0,2.0,62.0,0.0,27.21,27.0
2021-08-05,4.0,34.0,2177.0,1275.0,3.0,62.0,0.0,27.05,25.0
2021-08-05,4.0,34.0,2177.0,1275.0,4.0,62.0,0.0,26.9,24.0
2021-08-05,4.0,34.0,2177.0,1275.0,5.0,62.0,0.0,26.87,25.0
2021-08-05,4.0,34.0,2177.0,1275.0,6.0,62.0,0.0,26.73,24.0
2021-08-05,4.0,34.0,2177.0,1275.0,7.0,62.0,1.0,27.12,27.0
2021-08-05,4.0,34.0,2177.0,1275.0,8.0,62.0,54.0,27.7,28.0
2021-08-05,4.0,34.0,2177.0,1275.0,9.0,62.0,97.0,28.03,30.0
2021-08-05,4.0,34.0,2177.0,1275.0,10.0,62.0,131.0,28.11,29.0
2021-08-05,4.0,34.0,2177.0,1275.0,11.0,62.0,105.0,28.05,32.0
2021-08-05,4.0,34.0,2177.0,1275.0,12.0,62.0,127.0,28.26,31.0
2021-08-05,4.0,34.0,2177.0,1275.0,13.0,62.0,125.0,28.39,30.0
2021-08-05,4.0,34.0,2177.0,1275.0,14.0,62.0,137.0,28.55,32.0
2021-08-05,4.0,34.0,2177.0,1275.0,15.0,62.0,102.0,28.64,32.0
2021-08-05,4.0,34.0,2177.0,1275.0,16.0,62.0,130.0,28.73,34.0
2021-08-05,4.0,34.0,2177.0,1275.0,17.0,62.0,130.0,28.65,34.0
2021-08-05,4.0,34.0,2177.0,1275.0,18.0,62.0,139.0,28.7,34.0
2021-08-05,4.0,34.0,2177.0,1275.0,19.0,62.0,127.0,28.83,33.0
2021-08-05,4.0,34.0,2177.0,1275.0,20.0,62.0,119.0,28.53,33.0
2021-08-05,4.0,34.0,2177.0,1275.0,21.0,62.0,85.0,28.31,31.0
2021-08-05,4.0,34.0,2177.0,1275.0,22.0,62.0,5.0,29.18,28.0
2021-08-05,4.0,34.0,2177.0,1275.0,23.0,62.0,0.0,29.41,28.0
2021-08-06,5.0,34.0,2177.0,1275.0,0.0,48.0,0.0,29.51,28.0
2021-08-06,5.0,34.0,2177.0,1275.0,1.0,48.0,0.0,29.64,28.0
2021-08-06,5.0,34.0,2177.0,1275.0,2.0,48.0,0.0,29.72,28.0
2021-08-06,5.0,34.0,2177.0,1275.0,3.0,48.0,0.0,29.69,28.0
2021-08-06,5.0,34.0,2177.0,1275.0,4.0,48.0,0.0,29.53,28.0
2021-08-06,5.0,34.0,2177.0,1275.0,5.0,48.0,0.0,29.5,26.0
2021-08-06,5.0,34.0,2177.0,1275.0,6.0,48.0,0.0,29.49,26.0
2021-08-06,5.0,34.0,2177.0,1275.0,7.0,48.0,0.0,29.18,27.0
2021-08-06,5.0,34.0,2177.0,1275.0,8.0,48.0,44.0,28.77,28.0
2021-08-06,5.0,34.0,2177.0,1275.0,9.0,48.0,118.0,28.68,30.0
2021-08-06,5.0,34.0,2177.0,1275.0,10.0,48.0,107.0,29.01,33.0
2021-08-06,5.0,34.0,2177.0,1275.0,11.0,48.0,152.0,28.92,33.0
2021-08-06,5.0,34.0,2177.0,1275.0,12.0,48.0,111.0,29.02,33.0
2021-08-06,5.0,34.0,2177.0,1275.0,13.0,48.0,159.0,29.13,33.0
2021-08-06,5.0,34.0,2177.0,1275.0,14.0,48.0,152.0,29.25,34.0
2021-08-06,5.0,34.0,2177.0,1275.0,15.0,48.0,117.0,29.11,33.0
2021-08-06,5.0,34.0,2177.0,1275.0,16.0,48.0,121.0,29.07,32.0
2021-08-06,5.0,34.0,2177.0,1275.0,17.0,48.0,114.0,28.63,31.0
2021-08-06,5.0,34.0,2177.0,1275.0,18.0,48.0,125.0,28.39,29.0
2021-08-06,5.0,34.0,2177.0,1275.0,19.0,48.0,128.0,28.36,28.0
2021-08-06,5.0,34.0,2177.0,1275.0,20.0,48.0,88.0,28.57,28.0
2021-08-06,5.0,34.0,2177.0,1275.0,21.0,48.0,74.0,28.54,27.0
2021-08-06,5.0,34.0,2177.0,1275.0,22.0,48.0,2.0,28.25,27.0
2021-08-06,5.0,34.0,2177.0,1275.0,23.0,48.0,0.0,27.49,27.0
2021-08-07,6.0,34.0,2177.0,1275.0,0.0,54.0,0.0,27.22,27.0
2021-08-07,6.0,34.0,2177.0,1275.0,1.0,54.0,0.0,27.26,27.0
2021-08-07,6.0,34.0,2177.0,1275.0,2.0,54.0,0.0,26.99,26.0
2021-08-07,6.0,34.0,2177.0,1275.0,3.0,54.0,0.0,26.83,25.0
2021-08-07,6.0,34.0,2177.0,1275.0,4.0,54.0,0.0,26.73,25.0
2021-08-07,6.0,34.0,2177.0,1275.0,5.0,54.0,0.0,26.71,24.0
2021-08-07,6.0,34.0,2177.0,1275.0,6.0,54.0,0.0,26.51,24.0
2021-08-07,6.0,34.0,2177.0,1275.0,7.0,54.0,3.0,26.77,25.0
2021-08-07,6.0,34.0,2177.0,1275.0,8.0,54.0,30.0,27.5,26.0
2021-08-07,6.0,34.0,2177.0,1275.0,9.0,54.0,78.0,27.66,28.0
2021-08-07,6.0,34.0,2177.0,1275.0,10.0,54.0,125.0,27.78,28.0
2021-08-07,6.0,34.0,2177.0,1275.0,11.0,54.0,127.0,27.87,28.0
2021-08-07,6.0,34.0,2177.0,1275.0,12.0,54.0,110.0,27.85,29.0
2021-08-07,6.0,34.0,2177.0,1275.0,13.0,54.0,105.0,28.05,29.0
2021-08-07,6.0,34.0,2177.0,1275.0,14.0,54.0,116.0,28.12,28.0
2021-08-07,6.0,34.0,2177.0,1275.0,15.0,54.0,120.0,28.33,29.0
2021-08-07,6.0,34.0,2177.0,1275.0,16.0,54.0,137.0,28.32,29.0
2021-08-07,6.0,34.0,2177.0,1275.0,17.0,54.0,126.0,28.16,28.0
2021-08-07,6.0,34.0,2177.0,1275.0,18.0,54.0,143.0,28.11,27.0
2021-08-07,6.0,34.0,2177.0,1275.0,19.0,54.0,123.0,28.22,26.0
2021-08-07,6.0,34.0,2177.0,1275.0,20.0,54.0,93.0,27.97,25.0
2021-08-07,6.0,34.0,2177.0,1275.0,21.0,54.0,78.0,28.03,25.0
2021-08-07,6.0,34.0,2177.0,1275.0,22.0,54.0,4.0,28.48,25.0
2021-08-07,6.0,34.0,2177.0,1275.0,23.0,54.0,0.0,28.88,25.0
2021-08-08,7.0,34.0,2177.0,1275.0,0.0,69.0,0.0,29.03,24.0
2021-08-08,7.0,34.0,2177.0,1275.0,1.0,69.0,0.0,29.18,23.0
2021-08-08,7.0,34.0,2177.0,1275.0,2.0,69.0,0.0,29.26,23.0
2021-08-08,7.0,34.0,2177.0,1275.0,3.0,69.0,0.0,29.31,22.0
2021-08-08,7.0,34.0,2177.0,1275.0,4.0,69.0,0.0,29.33,22.0
2021-08-08,7.0,34.0,2177.0,1275.0,5.0,69.0,0.0,29.21,22.0
2021-08-08,7.0,34.0,2177.0,1275.0,6.0,69.0,0.0,29.16,23.0
2021-08-08,7.0,34.0,2177.0,1275.0,7.0,69.0,0.0,28.74,25.0
2021-08-08,7.0,34.0,2177.0,1275.0,8.0,69.0,43.0,28.54,27.0
2021-08-08,7.0,34.0,2177.0,1275.0,9.0,69.0,87.0,28.3,28.0
2021-08-08,7.0,34.0,2177.0,1275.0,10.0,69.0,113.0,28.17,28.0
2021-08-08,7.0,34.0,2177.0,1275.0,11.0,69.0,96.0,28.16,29.0
2021-08-08,7.0,34.0,2177.0,1275.0,12.0,69.0,115.0,28.24,30.0
2021-08-08,7.0,34.0,2177.0,1275.0,13.0,69.0,97.0,28.18,30.0
2021-08-08,7.0,34.0,2177.0,1275.0,14.0,69.0,132.0,28.16,30.0
2021-08-08,7.0,34.0,2177.0,1275.0,15.0,69.0,134.0,28.23,30.0
2021-08-08,7.0,34.0,2177.0,1275.0,16.0,69.0,113.0,28.24,29.0
2021-08-08,7.0,34.0,2177.0,1275.0,17.0,69.0,117.0,28.34,29.0
2021-08-08,7.0,34.0,2177.0,1275.0,18.0,69.0,95.0,28.24,27.0
2021-08-08,7.0,34.0,2177.0,1275.0,19.0,69.0,116.0,27.98,26.0
2021-08-08,7.0,34.0,2177.0,1275.0,20.0,69.0,107.0,28.06,26.0
2021-08-08,7.0,34.0,2177.0,1275.0,21.0,69.0,74.0,27.9,25.0
2021-08-08,7.0,34.0,2177.0,1275.0,22.0,69.0,3.0,27.93,25.0
2021-08-08,7.0,34.0,2177.0,1275.0,23.0,69.0,0.0,27.11,24.0
2021-08-09,1.0,34.0,2177.0,1275.0,0.0,78.0,0.0,26.82,24.0
2021-08-09,1.0,34.0,2177.0,1275.0,1.0,78.0,0.0,26.8,24.0
2021-08-09,1.0,34.0,2177.0,1275.0,2.0,78.0,0.0,26.63,21.0
2021-08-09,1.0,34.0,2177.0,1275.0,3.0,78.0,0.0,26.53,21.0
2021-08-09,1.0,34.0,2177.0,1275.0,4.0,78.0,0.0,26.4,21.0
2021-08-09,1.0,34.0,2177.0,1275.0,5.0,78.0,0.0,26.23,21.0
2021-08-09,1.0,34.0,2177.0,1275.0,6.0,78.0,0.0,26.1,22.0
2021-08-09,1.0,34.0,2177.0,1275.0,7.0,78.0,1.0,26.68,24.0
2021-08-09,1.0,34.0,2177.0,1275.0,8.0,78.0,62.0,27.14,26.0
2021-08-09,1.0,34.0,2177.0,1275.0,9.0,78.0,117.0,27.4,25.0
2021-08-09,1.0,34.0,2177.0,1275.0,10.0,78.0,116.0,27.25,26.0
2021-08-09,1.0,34.0,2177.0,1275.0,11.0,78.0,104.0,27.44,26.0
2021-08-09,1.0,34.0,2177.0,1275.0,12.0,78.0,158.0,27.49,26.0
2021-08-09,1.0,34.0,2177.0,1275.0,13.0,78.0,137.0,27.67,27.0
2021-08-09,1.0,34.0,2177.0,1275.0,14.0,78.0,122.0,27.73,27.0
2021-08-09,1.0,34.0,2177.0,1275.0,15.0,78.0,116.0,27.65,28.0
2021-08-09,1.0,34.0,2177.0,1275.0,16.0,78.0,139.0,27.61,28.0
2021-08-09,1.0,34.0,2177.0,1275.0,17.0,78.0,125.0,27.61,28.0
2021-08-09,1.0,34.0,2177.0,1275.0,18.0,78.0,149.0,27.52,27.0
2021-08-09,1.0,34.0,2177.0,1275.0,19.0,78.0,134.0,27.44,29.0
2021-08-09,1.0,34.0,2177.0,1275.0,20.0,78.0,97.0,27.42,27.0
2021-08-09,1.0,34.0,2177.0,1275.0,21.0,78.0,76.0,27.48,27.0
2021-08-09,1.0,34.0,2177.0,1275.0,22.0,78.0,1.0,27.99,26.0
2021-08-09,1.0,34.0,2177.0,1275.0,23.0,78.0,0.0,28.36,25.0
2021-08-10,2.0,34.0,2177.0,1275.0,0.0,65.0,0.0,28.54,25.0
2021-08-10,2.0,34.0,2177.0,1275.0,1.0,65.0,0.0,28.63,25.0
2021-08-10,2.0,34.0,2177.0,1275.0,2.0,65.0,0.0,28.77,24.0
2021-08-10,2.0,34.0,2177.0,1275.0,3.0,65.0,0.0,28.86,22.0
2021-08-10,2.0,34.0,2177.0,1275.0,4.0,65.0,0.0,28.88,21.0
2021-08-10,2.0,34.0,2177.0,1275.0,5.0,65.0,0.0,28.9,21.0
2021-08-10,2.0,34.0,2177.0,1275.0,6.0,65.0,0.0,28.85,22.0
2021-08-10,2.0,34.0,2177.0,1275.0,7.0,65.0,0.0,28.33,25.0
2021-08-10,2.0,34.0,2177.0,1275.0,8.0,65.0,67.0,28.1,25.0
2021-08-10,2.0,34.0,2177.0,1275.0,9.0,65.0,91.0,27.92,26.0
2021-08-10,2.0,34.0,2177.0,1275.0,10.0,65.0,126.0,27.86,27.0
2021-08-10,2.0,34.0,2177.0,1275.0,11.0,65.0,86.0,27.82,28.0
2021-08-10,2.0,34.0,2177.0,1275.0,12.0,65.0,118.0,27.98,28.0
2021-08-10,2.0,34.0,2177.0,1275.0,13.0,65.0,116.0,28.04,28.0
2021-08-10,2.0,34.0,2177.0,1275.0,14.0,65.0,90.0,28.08,29.0
2021-08-10,2.0,34.0,2177.0,1275.0,15.0,65.0,120.0,28.18,29.0
2021-08-10,2.0,34.0,2177.0,1275.0,16.0,65.0,122.0,28.1,29.0
2021-08-10,2.0,34.0,2177.0,1275.0,17.0,65.0,124.0,28.06,29.0
2021-08-10,2.0,34.0,2177.0,1275.0,18.0,65.0,143.0,27.97,27.0
2021-08-10,2.0,34.0,2177.0,1275.0,19.0,65.0,120.0,27.87,27.0
2021-08-10,2.0,34.0,2177.0,1275.0,20.0,65.0,104.0,27.81,27.0
2021-08-10,2.0,34.0,2177.0,1275.0,21.0,65.0,78.0,27.88,27.0
2021-08-10,2.0,34.0,2177.0,1275.0,22.0,65.0,4.0,27.9,28.0
2021-08-10,2.0,34.0,2177.0,1275.0,23.0,65.0,0.0,27.3,26.0
2021-08-11,3.0,34.0,2177.0,1275.0,0.0,61.0,0.0,26.76,25.0
2021-08-11,3.0,34.0,2177.0,1275.0,1.0,61.0,0.0,26.54,25.0
2021-08-11,3.0,34.0,2177.0,1275.0,2.0,61.0,0.0,26.38,25.0
2021-08-11,3.0,34.0,2177.0,1275.0,3.0,61.0,0.0,26.22,24.0
2021-08-11,3.0,34.0,2177.0,1275.0,4.0,61.0,0.0,26.16,23.0
2021-08-11,3.0,34.0,2177.0,1275.0,5.0,61.0,0.0,26.07,23.0
2021-08-11,3.0,34.0,2177.0,1275.0,6.0,61.0,0.0,25.96,24.0
2021-08-11,3.0,34.0,2177.0,1275.0,7.0,61.0,0.0,26.34,25.0
2021-08-11,3.0,34.0,2177.0,1275.0,8.0,61.0,57.0,27.05,26.0
2021-08-11,3.0,34.0,2177.0,1275.0,9.0,61.0,104.0,27.13,27.0
2021-08-11,3.0,34.0,2177.0,1275.0,10.0,61.0,120.0,27.2,28.0
2021-08-11,3.0,34.0,2177.0,1275.0,11.0,61.0,93.0,27.3,29.0
2021-08-11,3.0,34.0,2177.0,1275.0,12.0,61.0,134.0,27.48,29.0
2021-08-11,3.0,34.0,2177.0,1275.0,13.0,61.0,107.0,27.5,28.0
2021-08-11,3.0,34.0,2177.0,1275.0,14.0,61.0,107.0,27.58,29.0
2021-08-11,3.0,34.0,2177.0,1275.0,15.0,61.0,123.0,27.61,28.0
2021-08-11,3.0,34.0,2177.0,1275.0,16.0,61.0,139.0,27.68,30.0
2021-08-11,3.0,34.0,2177.0,1275.0,17.0,61.0,116.0,27.62,31.0
2021-08-11,3.0,34.0,2177.0,1275.0,18.0,61.0,141.0,27.56,29.0
2021-08-11,3.0,34.0,2177.0,1275.0,19.0,61.0,123.0,27.69,27.0
2021-08-11,3.0,34.0,2177.0,1275.0,20.0,61.0,117.0,27.55,26.0
2021-08-11,3.0,34.0,2177.0,1275.0,21.0,61.0,80.0,27.51,26.0
2021-08-11,3.0,34.0,2177.0,1275.0,22.0,61.0,2.0,28.2,26.0
2021-08-11,3.0,34.0,2177.0,1275.0,23.0,61.0,0.0,28.55,26.0
2021-08-12,4.0,34.0,2177.0,1275.0,0.0,83.0,0.0,28.69,25.0
2021-08-12,4.0,34.0,2177.0,1275.0,1.0,83.0,0.0,28.77,23.0
2021-08-12,4.0,34.0,2177.0,1275.0,2.0,83.0,0.0,28.82,23.0
2021-08-12,4.0,34.0,2177.0,1275.0,3.0,83.0,0.0,28.71,23.0
2021-08-12,4.0,34.0,2177.0,1275.0,4.0,83.0,0.0,28.71,23.0
2021-08-12,4.0,34.0,2177.0,1275.0,5.0,83.0,0.0,28.72,23.0
2021-08-12,4.0,34.0,2177.0,1275.0,6.0,83.0,0.0,28.75,23.0
2021-08-12,4.0,34.0,2177.0,1275.0,7.0,83.0,0.0,28.4,26.0
2021-08-12,4.0,34.0,2177.0,1275.0,8.0,83.0,52.0,28.08,27.0
2021-08-12,4.0,34.0,2177.0,1275.0,9.0,83.0,109.0,28.2,28.0
2021-08-12,4.0,34.0,2177.0,1275.0,10.0,83.0,130.0,28.08,27.0
2021-08-12,4.0,34.0,2177.0,1275.0,11.0,83.0,123.0,27.95,30.0
2021-08-12,4.0,34.0,2177.0,1275.0,12.0,83.0,119.0,27.93,32.0
2021-08-12,4.0,34.0,2177.0,1275.0,13.0,83.0,133.0,27.95,31.0
2021-08-12,4.0,34.0,2177.0,1275.0,14.0,83.0,125.0,28.08,31.0
2021-08-12,4.0,34.0,2177.0,1275.0,15.0,83.0,123.0,28.15,31.0
2021-08-12,4.0,34.0,2177.0,1275.0,16.0,83.0,155.0,28.08,30.0
2021-08-12,4.0,34.0,2177.0,1275.0,17.0,83.0,125.0,27.94,30.0
2021-08-12,4.0,34.0,2177.0,1275.0,18.0,83.0,138.0,27.82,29.0
2021-08-12,4.0,34.0,2177.0,1275.0,19.0,83.0,123.0,27.74,28.0
2021-08-12,4.0,34.0,2177.0,1275.0,20.0,83.0,101.0,27.83,27.0
2021-08-12,4.0,34.0,2177.0,1275.0,21.0,83.0,83.0,27.65,26.0
2021-08-12,4.0,34.0,2177.0,1275.0,22.0,83.0,3.0,28.11,26.0
2021-08-12,4.0,34.0,2177.0,1275.0,23.0,83.0,0.0,28.32,26.0
2021-08-13,5.0,34.0,2177.0,1275.0,0.0,74.0,0.0,28.42,26.0
2021-08-13,5.0,34.0,2177.0,1275.0,1.0,74.0,0.0,28.46,25.0
2021-08-13,5.0,34.0,2177.0,1275.0,2.0,74.0,0.0,28.59,25.0
2021-08-13,5.0,34.0,2177.0,1275.0,3.0,74.0,0.0,28.64,25.0
2021-08-13,5.0,34.0,2177.0,1275.0,4.0,74.0,0.0,28.68,25.0
2021-08-13,5.0,34.0,2177.0,1275.0,5.0,74.0,0.0,28.68,25.0
2021-08-13,5.0,34.0,2177.0,1275.0,6.0,74.0,0.0,28.62,25.0
2021-08-13,5.0,34.0,2177.0,1275.0,7.0,74.0,2.0,28.06,26.0
2021-08-13,5.0,34.0,2177.0,1275.0,8.0,74.0,54.0,27.81,27.0
2021-08-13,5.0,34.0,2177.0,1275.0,9.0,74.0,113.0,27.86,27.0
2021-08-13,5.0,34.0,2177.0,1275.0,10.0,74.0,122.0,27.73,28.0
2021-08-13,5.0,34.0,2177.0,1275.0,11.0,74.0,127.0,27.92,30.0
2021-08-13,5.0,34.0,2177.0,1275.0,12.0,74.0,126.0,28.03,30.0
2021-08-13,5.0,34.0,2177.0,1275.0,13.0,74.0,131.0,28.06,29.0
2021-08-13,5.0,34.0,2177.0,1275.0,14.0,74.0,117.0,27.88,30.0
2021-08-13,5.0,34.0,2177.0,1275.0,15.0,74.0,133.0,27.78,29.0
2021-08-13,5.0,34.0,2177.0,1275.0,16.0,74.0,127.0,27.76,29.0
2021-08-13,5.0,34.0,2177.0,1275.0,17.0,74.0,128.0,27.63,28.0
2021-08-13,5.0,34.0,2177.0,1275.0,18.0,74.0,123.0,27.49,27.0
2021-08-13,5.0,34.0,2177.0,1275.0,19.0,74.0,115.0,27.15,26.0
